prequal_id,checkout_id,prequal_date,completed_prequal,approved,assignment_date,group
00081cb5-27bb-428a-bc53-076bacc7ad02,,2019-06-22,1,0,2019-06-22,experiment
0136e545-347d-4a3b-b964-0a4561d32567,,2019-06-22,0,0,2019-06-22,experiment
0144b69a-f364-4746-8600-f6d7334d8f3f,,2019-06-27,1,0,2019-06-27,experiment
01e3886c-6f22-471f-b5e5-aa85d96f048c,3e636653-cf94-40b7-b3c9-7fb118d4d2a2,2019-06-30,1,1,,control
020412e9-c946-4252-94cf-85a4aaa75e2e,,2019-06-29,0,0,2019-06-29,experiment
028b5175-3a1f-43c5-b70e-93326da67287,,2019-06-28,0,0,,control
02ebac48-f952-4db3-bdd4-6bb2e49998ef,,2019-06-18,0,0,,control
02f54404-995d-4eb0-b91b-40f40f68f506,,2019-06-19,0,0,2019-06-19,experiment
030b40ec-b018-45a4-b30e-5d0d98a7bd10,cc5dbae2-16c5-45af-9c79-f20c642c1077,2019-06-17,1,1,2019-06-17,experiment
031cbfed-ce74-4656-bb42-6f33f53d3f8c,9d6fe237-bf71-4694-b9e0-edab5badbd80,2019-06-17,1,1,,control
032a1d01-53b6-4119-b2d2-d15095a82bce,,2019-06-21,0,0,,control
03941340-6ca5-42ed-ab01-8f7f03fe64ec,,2019-06-24,0,0,2019-06-24,experiment
03b5dc41-cbee-45a9-8f5d-3d9c376ba3f4,,2019-06-24,1,0,,control
03e09294-aa95-4eca-a6d8-2c197599f2a7,f15c850e-83ea-4e79-91fe-e100897c29c6,2019-06-27,1,1,,control
03ef4b89-9ebe-4dff-89f5-8cc7c6b510ec,,2019-06-23,1,1,2019-06-23,experiment
04e7cf7d-8444-4328-a4dc-e2c343763f8e,,2019-06-20,1,0,,control
0113885e-882d-4a0b-890b-9aa996403f29,a7793540-45a4-486c-89d6-50ac8f95cf5f,2019-06-25,1,1,2019-06-25,experiment
012a777b-69be-4a97-8967-c2e64bd69503,525dee38-98e5-41f7-ae71-a67373330d65,2019-06-22,1,1,,control
00d82233-3bca-4833-aecb-cb48f29e3887,,2019-06-24,0,0,,control
00edea07-b1c0-4983-8b7d-ec807ded5dc4,,2019-06-21,0,0,,control
01464da9-6597-44f6-a139-5ac7f703da0b,,2019-06-26,1,0,,control
05343087-2b0e-48a4-b5bd-216231b4fc97,,2019-06-19,0,0,2019-06-19,experiment
05909ccc-bd6c-46e8-8510-673158c5d2b9,9e74da99-78b5-4de6-8631-89be7b4c90ed,2019-06-18,1,1,2019-06-18,experiment
01c52db3-e7c7-49d2-aaef-1a0871090952,,2019-06-21,1,0,2019-06-21,experiment
01d90b9f-83ed-4124-a3f0-66447cef1828,247d6d50-f5a9-484c-8534-7c48072c4049,2019-06-20,1,1,,control
0077f4a9-eb6b-45e7-ab4c-f2cf436f0141,,2019-06-23,0,0,2019-06-23,experiment
00ccd153-d003-4f7d-bc67-eaceb08762b6,,2019-06-30,1,1,,control
0119fb54-95d2-4266-bc0d-29fa692c4baa,96993f54-a95c-4d1a-bfc9-3263bea3b46e,2019-06-23,1,1,2019-06-23,experiment
0295622a-f58c-4d71-b762-86df56548e74,,2019-06-28,0,0,,control
0296c8ac-ec6e-4dc7-b396-3b965e820941,28966ddd-238e-4d57-99cc-e2971d18ebf1,2019-06-18,1,1,,control
02e25f41-aa46-465d-b673-5d8d28a33c7a,,2019-06-26,0,0,2019-06-26,experiment
03cc455a-5c7a-45dd-aa8d-9e764f08eb56,,2019-06-28,0,0,,control
0180c443-9e3b-4550-ac1a-8534969fea1f,,2019-06-26,1,1,2019-06-26,experiment
01cfb43b-a72e-4478-bc47-243617fe488d,bdaaeeb8-5aa9-44f6-bc85-a0da60dc797a,2019-06-28,1,1,2019-06-28,experiment
01dad4ac-80c0-4cad-9ca6-18689d6ca947,e5b7d258-aa7a-4586-b159-d6fb9cc2c752,2019-06-20,1,1,2019-06-20,experiment
021c0553-1e4d-41fb-ad2f-7b2673daef6e,,2019-06-16,0,0,,control
02678cb4-ddae-4e1a-97fa-fcec34782116,,2019-06-18,0,0,2019-06-18,experiment
029b9461-a132-4b6b-8164-31bf6b288491,,2019-06-24,0,0,2019-06-24,experiment
0637f885-d0cd-447e-99a0-9c4103d3b4e4,,2019-06-25,1,1,,control
06603569-d912-44fc-8c05-ab5cafef38ae,9b89466b-b97c-40ba-85f5-bb6d21754605,2019-06-18,1,1,,control
